data_id,iso,event_id_cnty,event_id_no_cnty,event_date,year,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,timestamp,iso3
7298917,360,IDN5154,5154,06 November 2020,2020,1,Battles,Armed clash,TPNPB: West Papua National Liberation Army,,2,Military Forces of Indonesia (2014-),,1,12,Southeast Asia,Indonesia,Papua,Intan Jaya,Sugapa,Sugapa,-3.7430000000000003,137.05,1,Kompas,National,"On 6 November 2020, an armed clash broke out in Intan Jaya Regency (Papua province), coded as Sugapa district, between TPNPB and Indonesian military forces. Two soldiers were shot, and one of them died. TPNPB claimed they also injured several other soldiers. The official report noted the location was in the Sugapa district, but the rebel claimed it took place in Munimai and Langgoa villages in Agisiga district.",1,1605029834,IDN
7298970,360,IDN5149,5149,06 November 2020,2020,1,Protests,Peaceful protest,Protesters (Indonesia),Students (Indonesia),6,,,0,60,Southeast Asia,Indonesia,East Kalimantan,Samarinda,Samarinda,Samarinda,-0.4999,117.1377,1,Tribunnews,National,"On 6 November 2020, a group of students from Mahasiswa Kaltim Menggugat held a peaceful protest in Samarinda city (East Kalimantan province), demanding the release of their fellow students, who were arrested during a riot a day earlier. [size=no report]",0,1605029834,IDN
7298972,360,IDN5159,5159,06 November 2020,2020,1,Protests,Peaceful protest,Protesters (Indonesia),Muslim Group (Indonesia),6,,,0,60,Southeast Asia,Indonesia,South Kalimantan,Banjarmasin,Banjarmasin,Banjarmasin,-3.3244,114.59100000000001,1,Tribunnews,National,"On 6 November 2020, hundreds of Muslim people held a peaceful protest on Lambung Mangkurat Road, in front of the council building in Banjarmasin city (South Sulawesi province), regarding the statement of France's president, which allegedly insulted Islam. [size=hundreds]",0,1605029834,IDN
7298978,360,IDN5165,5165,06 November 2020,2020,1,Protests,Peaceful protest,Protesters (Indonesia),Labour Group (Indonesia),6,,,0,60,Southeast Asia,Indonesia,Jakarta,South Jakarta,South Jakarta,South Jakarta,-6.266,106.8135,1,Tribunnews,National,"On 6 November 2020, hundreds of laborers from Gerakan Buruh Bersama Rakyat (Gebrak) held a peaceful protest in front of the Indonesian police headquarters in South Jakarta city (Jakarta province), criticizing the repressive acts of security forces during protests in Indonesia. [size=hundreds]",0,1605029834,IDN
7298981,360,IDN5160,5160,06 November 2020,2020,1,Protests,Peaceful protest,Protesters (Indonesia),Muslim Group (Indonesia),6,,,0,60,Southeast Asia,Indonesia,Aceh,Aceh Tamiang,Karang Baru,Karang Baru,4.2763,98.0522,1,Tribunnews,National,"On 6 November 2020, many Muslim people held a peaceful protest in front of the Aceh Tamiang regent's office in Karang Baru town (Aceh Tamiang Regency, Aceh province) regarding the statement of France's president, which allegedly insulted Islam. They demanded the government impose a ban on French products. [size=many]",0,1605029834,IDN
7298985,360,IDN5148,5148,06 November 2020,2020,1,Protests,Peaceful protest,Protesters (Indonesia),FPI: Islamic Defenders Front; Muslim Group (Indonesia); HMI: Muslim Students Association; Students (Indonesia),6,,,0,60,Southeast Asia,Indonesia,Aceh,West Aceh,Meulaboh,Meulaboh,4.144,96.1266,1,Tribunnews,National,"On 6 November 2020, many Muslim people, including members of FPI and HMI, held a peaceful protest in front of the Baitul Makmur Grand Mosque in Meulaboh city (West Aceh Regency, Aceh province) regarding the statement of France's president, which allegedly insulted Islam. They demanded the government impose a ban on French products. [size=many]",0,1605029834,IDN
7298986,360,IDN5161,5161,06 November 2020,2020,1,Protests,Peaceful protest,Protesters (Indonesia),Muslim Group (Indonesia),6,,,0,60,Southeast Asia,Indonesia,Central Java,Sragen,Sragen,Sragen,-7.4245,111.0186,1,Tribunnews,National,"On 6 November 2020, many Muslim people held a peaceful protest on Sukowati Road, Sragen town (Sragen regency, Central Java province), regarding the statement of France's president, which allegedly insulted Islam. They demanded the government impose a ban on French products. [size=many]",0,1605029834,IDN
7298989,360,IDN5147,5147,06 November 2020,2020,1,Protests,Peaceful protest,Protesters (Indonesia),HMI: Muslim Students Association; Muslim Group (Indonesia); Students (Indonesia),6,,,0,60,Southeast Asia,Indonesia,Maluku,Ambon,Ambon,Ambon,-3.6958,128.1833,1,Tribunnews,National,"On 6 November 2020, dozens of HMI students held a peaceful protest in front of the Ambon mayor's office in Ambon city (Maluku province) regarding the statement of France's president, which allegedly insulted Islam. They demanded the government impose a ban on French products. [size=dozens]",0,1605029834,IDN
7298910,360,IDN5144,5144,05 November 2020,2020,1,Protests,Protest with intervention,Protesters (Indonesia),Students (Indonesia); Labour Group (Indonesia),6,Police Forces of Indonesia (2014-),,1,16,Southeast Asia,Indonesia,South Kalimantan,Banjarmasin,Banjarmasin,Banjarmasin,-3.3244,114.59100000000001,1,Kompas,National,"On 5 November 2020, a group of students held a protest on Lambung Mangkurat Road, Banjarmasin city (South Kalimantan province), opposing the omnibus law of job creations. A student was arrested after insulting a police officer. [size=no report]",0,1605029834,IDN
7298954,360,IDN5143,5143,05 November 2020,2020,1,Protests,Peaceful protest,Protesters (Indonesia),Papuan Ethnic Group (Indonesia); Students (Indonesia),6,,,0,60,Southeast Asia,Indonesia,West Papua,Sorong,Sorong,Sorong,-0.8795,131.261,1,Suara Papua,Subnational,"On 5 November 2020, a group of Papuans, including students, held a peaceful protest in front of the Saga supermarket in Sorong city (West Papua province), opposing the second term of Special Autonomy Status of Papua. [size=no report]",0,1605029834,IDN
7298964,360,IDN5140,5140,05 November 2020,2020,1,Protests,Peaceful protest,Protesters (Indonesia),HMI: Muslim Students Association; Muslim Group (Indonesia); Students (Indonesia),6,,,0,60,Southeast Asia,Indonesia,West Sulawesi,Mamuju,Mamuju,Mamuju,-2.7126,118.9103,1,Tribunnews,National,"On 5 November 2020, dozens of HMI members held a peaceful protest at the crossroad of Ahmad Kirang Road-AP Pettarani Road, Binanga sub-district, Mamuju town (West Sulawesi province), regarding alleged corruption in the selection process of civil servants last year. [size=dozens]",0,1605029834,IDN
7298967,360,IDN5146,5146,05 November 2020,2020,1,Riots,Violent demonstration,Rioters (Indonesia),Students (Indonesia); Labour Group (Indonesia),5,Police Forces of Indonesia (2014-),,1,15,Southeast Asia,Indonesia,East Kalimantan,Samarinda,Samarinda,Samarinda,-0.4999,117.1377,1,Tribunnews,National,"On 5 November 2020, many students from Mahasiswa Kaltim Menggugat held a demonstration in front of the East Kalimantan council building in Samarinda city (East Kalimantan province), opposing the omnibus law of job creations. They burned tires and tore down the building's gate. The police intervened by shooting water cannon and tear gas. They arrested 12 students. A viral video showed a group of policemen beating a student during the riot. [size=many]",0,1605029834,IDN
7298973,360,IDN5139,5139,05 November 2020,2020,1,Protests,Peaceful protest,Protesters (Indonesia),,6,,,0,60,Southeast Asia,Indonesia,Maluku,Ambon,Ambon,Ambon,-3.6958,128.1833,1,Tribunnews,National,"On 5 November 2020, a group of people held a peaceful protest in front of their residential complex Gadihu in Ambon city (Maluku province) regarding a damaged road in front of the complex gate. [size=no report]",0,1605029834,IDN
