data_id,iso,event_id_cnty,event_id_no_cnty,event_date,year,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,timestamp,iso3
7269805,558,NIC325,325,29 October 2020,2020,1,Protests,Peaceful protest,Protesters (Nicaragua),Students (Nicaragua),6,,,0,60,Central America,Nicaragua,Managua,Managua,,Managua,12.1328,-86.2504,1,Trinchera (Nicaragua),National,"On 29 October 2020, in Managua (Managua), students gathered at a hotel where they protested against the regime of President Ortega. [size=no report]",0,1604343639,NIC
7269804,558,NIC324,324,26 October 2020,2020,1,Strategic developments,Other,Police Forces of Nicaragua (2007-),,1,Civilians (Nicaragua),Government of Nicaragua (2007-),7,17,Central America,Nicaragua,Jinotega,Jinotega,,Wiwili de Jinotega,13.6195,-85.8194,1,Trinchera (Nicaragua),National,"On 26 October 2020, in Wiwili de Jinotega (Jinotega), police officers seized the building of the municipality, not letting employers in. The mayor, a political opponent to the Ortega regime, links the police's actions to an upcoming coup to oust her on fraud claims and replace her with an Ortega supporter. [size=no report]",0,1604343639,NIC
7269690,558,NIC323,323,25 October 2020,2020,1,Violence against civilians,Attack,Police Forces of Nicaragua (2007-),,1,Civilians (Nicaragua),ACJD: Civic Alliance for Justice and Democracy,7,17,Central America,Nicaragua,Masaya,Masaya,,Masaya,11.9744,-86.0942,2,La Prensa (Nicaragua),National,"On 25 October 2020, on the road towards Masaya (Masaya), police officers stopped and attacked three members of the ACJD, the Civic Alliance for Justice and Democracy. No reports of injuries.",0,1604343639,NIC
7256811,558,NIC322,322,18 October 2020,2020,1,Protests,Peaceful protest,Protesters (Nicaragua),UNAB: National Unit Blue and White,6,,,0,60,Central America,Nicaragua,Managua,Managua,,Managua,12.1328,-86.2504,2,Trinchera (Nicaragua),National,"On 18 October 2020, in Managua municipality, on the road Masaya - Managua, (Managua), near Cafe Las Flores, around 15 UNAB members, the National Unit Blue and White, protested against the regime of President Ortega. [size=around 15]",0,1603738910,NIC
7248763,558,NIC321,321,15 October 2020,2020,1,Protests,Peaceful protest,Protesters (Nicaragua),Students (Nicaragua),6,,,0,60,Central America,Nicaragua,Managua,Managua,,Managua,12.1328,-86.2504,1,La Prensa (Nicaragua),National,"On 15 October 2020, in Managua (Managua), students from the University Nicaraguan Alliance protested against the Legislative Assembly approval of cybercrimes law, which hampers freedom of expression. [size=no report]",0,1603128236,NIC
7248762,558,NIC320,320,12 October 2020,2020,1,Protests,Peaceful protest,Protesters (Nicaragua),PLC: Constitutionalist Liberal Party,6,,,0,60,Central America,Nicaragua,Managua,Managua,,Managua,12.1328,-86.2504,1,La Prensa (Nicaragua),National,"On 12 October 2020, in Managua (Managua), workers from the Constitutionalist Liberal Party protested in front of the house of the Party leader to demand three months of due salary payments. [size=no report]",0,1603128236,NIC
7248629,558,NIC319,319,11 October 2020,2020,1,Violence against civilians,Attack,Militia (Pro-Government),,3,Civilians (Nicaragua),Journalists (Nicaragua); UNAB: National Unit Blue and White,7,37,Central America,Nicaragua,Masaya,Masaya,,Masaya,11.9744,-86.0942,1,Confidencial,National,"On 11 October 2020, in Masaya (Masaya), pro-government militia attacked a journalist and a spokesperson for the UNAB: National Unit Blue and White.",0,1603128235,NIC
7243955,558,NIC318,318,07 October 2020,2020,2,Protests,Peaceful protest,Protesters (Nicaragua),Students (Nicaragua),6,,,0,60,Central America,Nicaragua,Managua,Managua,,Managua,12.1328,-86.2504,2,La Prensa (Nicaragua),National,"Around 7 October 2020 (as reported), near Managua (Managua), on the road Managua - Masaya, students from the University Alliance protested against the new law proposal on cybercrimes and foreign agents, which can further hamper freedom of expression in the country. [size=no report]",0,1602528533,NIC
7244107,558,NIC317,317,04 October 2020,2020,1,Protests,Peaceful protest,Protesters (Nicaragua),,6,,,0,60,Central America,Nicaragua,Managua,Managua,,Managua,12.1328,-86.2504,1,Trinchera (Nicaragua),National,"On 4 October 2020 , in Managua (Managua), family members of political prisoners protested in front of the Holiday Inn, demanding their release [size=no report]",0,1602528534,NIC
7243954,558,NIC316,316,02 October 2020,2020,1,Protests,Peaceful protest,Protesters (Nicaragua),Prisoners (Nicaragua),6,,,0,60,Central America,Nicaragua,Managua,Tipitapa,,Tipitapa,12.1973,-86.0971,1,La Prensa (Nicaragua),National,"On 2 October 2020 , in Tipitapa (Managua), three political prisoners of the Nacional Jorge Navarro penitentiary sewed their mouths in protest against psychological tortures and death threats. Moreover, 54 prisoners also started a hunger strike. [size=no report]",0,1602528533,NIC
7232796,558,NIC314,314,26 September 2020,2020,1,Strategic developments,Other,Police Forces of Nicaragua (2006-),,1,Civilians (Nicaragua),National Coalition,7,17,Central America,Nicaragua,Carazo,Diriamba,,Diriamba,11.8581,-86.2392,1,Articulo 66,National,"On 26 September 2020, in Diriamba (Carazo), police officers blocked the entrance of a hotel where members of the National Coalition were supposed to have a political meeting. Police did not allow them to check-in and followed them on the road until Managua.",0,1601319588,NIC
7233075,558,NIC315,315,26 September 2020,2020,1,Strategic developments,Arrests,Police Forces of Nicaragua (2006-),,1,Civilians (Nicaragua),National Coalition,7,17,Central America,Nicaragua,Managua,Managua,,Managua,12.1328,-86.2504,1,Trinchera (Nicaragua),National,"On 26 September 2020, in Managua (Managua), around 30 members of the National Coalition were detained by police forces. These detention appear to be politically motivated, as they target the opposition across the country. Amid them, five opposition leaders from different organizations have been detained.",0,1601319589,NIC
7233074,558,NIC313,313,25 September 2020,2020,1,Strategic developments,Other,Police Forces of Nicaragua (2006-),,1,Civilians (Nicaragua),Women (Nicaragua),7,17,Central America,Nicaragua,Managua,Managua,,Managua,12.1328,-86.2504,1,Trinchera (Nicaragua),National,"On 25 September 2020, in Managua (Managua), police forces besieged around the NGO Movement of Working and Unemployed Women Maria Elena Cuadra and forced its members to remain inside. The action seems to be politically motivated as members of the NGO have positioned themselves against the regime of President Ortega. That day, similar facts were reported in front of the feminist NGO La Corriente.",0,1601319589,NIC
7233073,558,NIC312,312,23 September 2020,2020,1,Riots,Violent demonstration,Rioters (Nicaragua),,5,,,0,50,Central America,Nicaragua,Masaya,Masaya,,Masaya,11.9744,-86.0942,1,Trinchera (Nicaragua),National,"On 23 September 2020, in Masaya (Masaya), rioters burned tires at the entrance of the city and painted political messages in opposition to the regime of President Ortega. [size=no report]",0,1601319589,NIC
7228231,558,NIC311,311,19 September 2020,2020,1,Strategic developments,Other,Police Forces of Nicaragua (2006-),,1,Civilians (Nicaragua),,7,17,Central America,Nicaragua,Managua,Managua,,Managua,12.1328,-86.2504,1,Articulo 66,National,"On 19 September 2020 (as reported), in Managua (Managua), during the weekend, police members forced a political opponent to the regime of President Ortega and his family members to remain inside their houses, not allowing them to leave to work.",0,1600723024,NIC
7228232,558,NIC310,310,18 September 2020,2020,2,Strategic developments,Other,Police Forces of Nicaragua (2006-),,1,Civilians (Nicaragua),ACJD: Civic Alliance for Justice and Democracy,7,17,Central America,Nicaragua,Managua,Managua,,Managua,12.1328,-86.2504,3,Articulo 66,National,"Around 18 September 2020 (as reported), in an undisclosed location in Nicaragua, police officers found a safe house of the ACJD, the Civic Alliance for Justice and Democracy. When members of the group noticed the police presence, they tried to leave the house. Police impeded members from leaving the house and held them there.",0,1600723024,NIC
7228233,558,NIC308,308,16 September 2020,2020,1,Violence against civilians,Attack,Militia (Pro-Government),,3,Civilians (Nicaragua),,7,37,Central America,Nicaragua,Leon,Leon,,Leon,12.4379,-86.87799999999999,1,Articulo 66,National,"On 16 September 2020, in Leon (Leon), at the Sutiaba neighborhood, armed pro-government militants attacked a man, in an attack which might be connected to the victim's political activities against the regime of President Ortega. No injuries nor fatalities reported.",0,1600723024,NIC
7228234,558,NIC309,309,16 September 2020,2020,1,Violence against civilians,Attack,Militia (Pro-Government),,3,Civilians (Nicaragua),,7,37,Central America,Nicaragua,Leon,Leon,,Leon,12.4379,-86.87799999999999,1,Articulo 66,National,"On 16 September 2020, in Leon (Leon), armed pro-government militants attacked the house of the family of a political opponent to the Ortega regime, throwing rocks at the house and insulting the two women who remained inside. No injuries nor fatalities reported.",0,1600723024,NIC
