"event_date","event_type","sub_event_type","actor1","assoc_actor_1","actor2","assoc_actor_2","comp_act1","comp_assoc_act1","comp_act2","comp_assoc_act2","Region","Province","Municipality","Baranggay","latitude","longitude","geo_precision","source","source_scale","fatalities","notes"
"2018-06-01","Violence against civilians","Attack","Police Forces of the Philippines (2016-)","Military Forces of the Philippines (2016-)","Civilians (Philippines)","Drug Suspects (Philippines)","Police Forces of the","Military Forces of t","Civilians (Philippin","Drug Suspects (Phili","BARMM","Maguindanao","Cotabato City","Cotabato City","7.2236","124.2463","1","Philippine News Agency","National","0","2 civilians were wounded during a joint police-military raid on the a family compound in Cotabato City, Maguindanao on June 1. The family who owns the compound is accused of being involved in the drug trade."
"2018-06-01","Violence against civilians","Attack","Police Forces of the Philippines (2016-)","","Civilians (Philippines)","Drug Suspects (Philippines)","Police Forces of the","nan","Civilians (Philippin","Drug Suspects (Phili","Central Luzon","Nueva Ecija","Cabanatuan","Cabanatuan","15.4858","120.9664","1","Philippine News Agency","National","1","A drug suspect was killed during a police raid in Cabanatuan City, Nueva Ecija on June 1."
"2018-06-01","Violence against civilians","Attack","Unidentified Armed Group (Philippines)","","Civilians (Philippines)","Government of the Philippines (2016-)","Unidentified Armed G","nan","Civilians (Philippin","Government of the Ph","Central Luzon","Bataan","Limay","Limay","14.5619","120.5983","2","Philippine News Agency","National","1","The Philippine Ports Authority manager of Bataan was killed by unidentified assailants at a highway in Limay town, Bataan on June 1. Another employee was wounded."
"2018-06-01","Violence against civilians","Attack","Police Forces of the Philippines (2016-)","","Civilians (Philippines)","Drug Suspects (Philippines)","Police Forces of the","nan","Civilians (Philippin","Drug Suspects (Phili","Central Luzon","Nueva Ecija","San Leonardo","San Leonardo","15.363","120.9639","2","Philippine News Agency","National","1","A drug suspect was killed in San Leonardo town, Nueva Ecija on June 1."
"2018-06-01","Violence against civilians","Attack","Unidentified Armed Group (Philippines)","","Civilians (Philippines)","Government of the Philippines (2016-)","Unidentified Armed G","nan","Civilians (Philippin","Government of the Ph","Central Visayas","Bohol","Buenavista","Buenavista","10.0456","124.1654","2","Philippine Star","National","1","A mayor was killed by a gunman at a cockpit in Buenavista town, Bohol on June 1. This was not the first attempt on his life."
"2018-06-02","Strategic developments","Disrupted weapons use","BIFF: Bangsamoro Islamic Freedom Fighters","","Military Forces of the Philippines (2016-)","","BIFF: Bangsamoro Isl","nan","Military Forces of t","nan","BARMM","Maguindanao","Ampatuan","Saniag","6.8239","124.3609","1","Philippine News Agency","National","0","Defusal: Soldiers defused an IED allegedly planted by BIFF rebels at Barangay Saniag, Datu Saudi-Ampatuan town, Maguindanao province on June 2."
"2018-06-02","Violence against civilians","Attack","Unidentified Armed Group (Philippines)","","Civilians (Philippines)","Government of the Philippines (2016-)","Unidentified Armed G","nan","Civilians (Philippin","Government of the Ph","Calabarzon","Batangas","Balayan","Duhatan","13.9467","120.6747","1","Philippine Daily Inquirer","National","1","A village chairperson was killed by unidentified assailants at Barangay Duhatan, Balayan town, Batangas province at June 2. His companion was wounded."
"2018-06-02","Violence against civilians","Attack","Police Forces of the Philippines (2016-)","","Civilians (Philippines)","Drug Suspects (Philippines)","Police Forces of the","nan","Civilians (Philippin","Drug Suspects (Phili","NCR","Metro Manila","Quezon City","Quezon City","14.6488","121.0509","1","Philippine Star","National","1","A drug suspect was killed in a police raid at Barangay Gulod, Quezon City, Metro Manila on the weekend of June 2."
"2018-06-03","Protests","Peaceful protest","Protesters (Philippines)","Labour Group (Philippines)","","","Protesters (Philippi","Labour Group (Philip","nan","nan","Central Luzon","Bulacan","Marilao","Marilao","14.7577","120.9483","2","Bulatlat","National","0","NutriAsia laborers and their supporters had a picket line at Marilao town, Bulacan province on June 3-14, demanding a decent living wage, safer working conditions, and the end of labor contractualization."
"2018-06-04","Protests","Peaceful protest","Protesters (Philippines)","Labour Group (Philippines)","","","Protesters (Philippi","Labour Group (Philip","nan","nan","Central Luzon","Bulacan","Marilao","Marilao","14.7577","120.9483","2","Bulatlat","National","0","NutriAsia laborers and their supporters had a picket line at Marilao town, Bulacan province on June 3-14, demanding a decent living wage, safer working conditions, and the end of labor contractualization."
"2018-06-04","Explosions/Remote violence","Remote explosive/landmine/IED","NPA: New People's Army","","","","NPA: New People's Ar","nan","nan","nan","Bicol Region","Masbate","Dimasalang","San Vicente","12.1821","123.8275","1","Philippine Star","National","0","Alleged NPA rebels set off a landmine near a public school in Barangay San Vicente, Dimasalang town, Masbate province on June 4."
"2018-06-04","Battles","Armed clash","NPA: New People's Army","","Military Forces of the Philippines (2016-)","","NPA: New People's Ar","nan","Military Forces of t","nan","Calabarzon","Quezon","Lopez","Silang","13.8358","122.2909","1","Philippine Daily Inquirer","National","1","NPA rebels had an encounter with soldiers at Barangay Silang, Lopez town, Quezon province on June 4. 1 soldier died, while 2 others were wounded. Soldiers were hit by a roadside bomb and then fired upon by the rebels."
"2018-06-04","Battles","Armed clash","NPA: New People's Army","","Military Forces of the Philippines (2016-)","","NPA: New People's Ar","nan","Military Forces of t","nan","Cagayan Valley","Isabela","Echague","Mabbayad","16.6778","121.73299999999999","1","Philippine Daily Inquirer","National","0","6 Soldiers from the 86th Infantry Battalion were wounded during an encounter with suspected NPA rebels at Barangay Mabbayad, Echague town, Isabela province on June 4."
"2018-06-05","Violence against civilians","Attack","Unidentified Armed Group (Philippines)","","Civilians (Philippines)","Former Police Forces of the Philippines (2016-)","Unidentified Armed G","nan","Civilians (Philippin","Former Police Forces","Davao Region","Davao Oriental","Mati","Mati","6.955","126.2165","1","Mindanao Times","Subnational","0","A retired police officer and his companion were ambushed by unidentified assailants via a roadside bomb and gunfire at Barangay Macambol, Mati City, Davao Oriental on June 5. They survived."
"2018-06-05","Battles","Armed clash","NPA: New People's Army","","Police Forces of the Philippines (2016-)","","NPA: New People's Ar","nan","Police Forces of the","nan","CAR","Mountain Province","Sagada","Mount Sisipitan","17.1735","120.887","1","Philippine Daily Inquirer","National","1","Police officers had an encounter with alleged NPA rebels at Mountain Sisipitan, Barangay Aguid, Sagada town, Mountain Province on June 5. 1 police officer was killed, while 9 others were wounded."
"2018-06-05","Protests","Peaceful protest","Protesters (Philippines)","Labour Group (Philippines)","","","Protesters (Philippi","Labour Group (Philip","nan","nan","Central Luzon","Bulacan","Marilao","Marilao","14.7577","120.9483","2","Bulatlat","National","0","NutriAsia laborers and their supporters had a picket line at Marilao town, Bulacan province on June 3-14, demanding a decent living wage, safer working conditions, and the end of labor contractualization."
"2018-06-05","Violence against civilians","Attack","Police Forces of the Philippines (2016-)","","Civilians (Philippines)","Drug Suspects (Philippines)","Police Forces of the","nan","Civilians (Philippin","Drug Suspects (Phili","NCR","Metro Manila","Quezon City","Quezon City","14.6488","121.0509","1","Manila Times","National","2","Drug suspects were killed during a police raid at Batasan, Quezon City, Metro Manila on June 5."
"2018-06-05","Violence against civilians","Attack","Police Forces of the Philippines (2016-)","","Civilians (Philippines)","Drug Suspects (Philippines)","Police Forces of the","nan","Civilians (Philippin","Drug Suspects (Phili","Calabarzon","Cavite","Bacoor","Bacoor","14.459000000000001","120.929","1","Philippine Daily Inquirer","National","2","Drug suspects were killed during a police raid at Barangay Niog 3, Bacoor City, Cavite province on June 5."
"2018-06-05","Violence against civilians","Attack","Police Forces of the Philippines (2016-)","","Civilians (Philippines)","Drug Suspects (Philippines); Women (Philippines)","Police Forces of the","nan","Civilians (Philippin","Drug Suspects (Phili","Calabarzon","Batangas","Batangas City","Batangas City","13.7567","121.0584","1","Philippine Daily Inquirer","National","1","A drug suspect was killed during a police raid at Barangay Santa Clara, Batangas City on June 5. 5 of his companions were arrested."
