,Province,Capital,,Population,Area,Density,Founded,Island_group,Region,Mun_LGUs,City_LGUs,Brgy_LGUs
2,Abra,Bangued,0.2,241160.0,4165.25,58.0,1846,Luzon,CAR,27,—,303
3,Agusan del Norte ,Cabadbaran,0.7,691566.0,3546.86,190.0,20 Sep 1907,Mindanao,XIII,10,2,252
4,Agusan del Sur,Prosperidad,0.7,700653.0,9989.52,70.0,1 Jan 1970,Mindanao,XIII,13,1,314
5,Aklan,Kalibo,0.6,574823.0,1821.42,320.0,8 Nov 1956,Visayas,VI,17,—,327
6,Albay,Legazpi,1.3,1314826.0,2575.77,510.0,3 Apr 1574,Luzon,V,15,3,720
7,Antique,San Jose de Buenavista,0.6,582012.0,2729.17,210.0,10 Mar 1917,Visayas,VI,18,—,590
8,Apayao,Kabugao,0.1,119184.0,4413.35,27.0,14 Feb 1995,Luzon,CAR,7,—,133
9,Aurora,Baler,0.2,214336.0,3147.32,68.0,13 Aug 1979,Luzon,III,8,—,151
10,Basilan,Lamitan,0.5,459367.0,1327.23,350.0,27 Dec 1973,Mindanao,BARMM,11,2,255
11,Bataan,Balanga,0.8,760650.0,1372.98,550.0,1754,Luzon,III,11,1,237
12,Batanes,Basco,0.0,17246.0,219.01,79.0,26 Jun 1783,Luzon,II,6,—,29
13,Batangas,Batangas City,2.7,2694335.0,3119.72,860.0,8 Dec 1581,Luzon,IV-A,31,3,"1,078"
14,Benguet,La Trinidad,0.8,791590.0,2826.59,280.0,16 Jun 1966,Luzon,CAR,13,1,269
15,Biliran,Naval,0.2,171612.0,536.01,320.0,11 May 1992,Visayas,VIII,8,—,132
16,Bohol,Tagbilaran,1.3,1313560.0,4820.95,270.0,22 Jul 1854,Visayas,VII,47,1,"1,109"
17,Bukidnon,Malaybalay,1.4,1415226.0,10498.59,130.0,10 Mar 1917,Mindanao,X,20,2,464
18,Bulacan,Malolos,3.3,3292071.0,2796.1,1200.0,15 Aug 1578,Luzon,III,21,3,569
19,Cagayan,Tuguegarao,1.2,1199320.0,9295.75,130.0,29 Jun 1583,Luzon,II,28,1,820
20,Camarines Norte,Daet,0.6,583313.0,2320.07,250.0,15 Apr 1920,Luzon,V,12,—,282
21,Camarines Sur,Pili,1.9,1952544.0,5497.03,360.0,27 May 1579,Luzon,V,35,2,"1,063"
22,Camiguin,Mambajao,0.1,88478.0,237.95,370.0,18 Jun 1966,Mindanao,X,5,—,58
23,Capiz,Roxas,0.8,761384.0,2594.64,290.0,10 Mar 1917,Visayas,VI,16,1,473
24,Catanduanes,Virac,0.3,260964.0,1492.16,170.0,26 Sep 1945,Luzon,V,11,—,315
25,Cavite,Imus,3.6,3678301.0,1574.17,2300.0,10 Mar 1614,Luzon,IV-A,17,6,829
26,Cebu,Cebu City,4.6,4632359.0,5342.0,870.0,27 Apr 1565,Visayas,VII,44,9,"1,203"
