Regional_Designation,PSGC,Island_group,Regional_center,Area(km2),Area(sqmi),Population(2020est),Density(/km2),Region_name
National Capital Region(NCR),13,Luzon,Manila,619.57,239.22,13894656,21000,NCR
Cordillera Administrative Region(CAR),14,Luzon,Baguio,19422.03,7498.89,1807738,89,CAR
Ilocos Region(Region I),1,Luzon,San Fernando(La Union),13012.6,5024.19,5220807,390,Region I
Cagayan Valley(Region II),2,Luzon,Tuguegarao,28228.83,10899.21,3657741,120,Region II
Central Luzon(Region III),3,Luzon,San Fernando(Pampanga),22014.63,8499.9,12313718,510,Region III
Calabarzon(Region IV-A),4,Luzon,Calamba,16873.31,6514.82,16057099,850,Region IV-A
Southwestern Tagalog Region(Mimaropa),17,Luzon,Calapan,29620.9,11436.69,3174859,100,Mimaropa
Bicol Region(Region V),5,Luzon,Legazpi,18155.82,7010,6139836,320,Region V
Western Visayas(Region VI),6,Visayas,Iloilo City,20794.18,8028.68,7984899,360,Region VI
Central Visayas(Region VII),7,Visayas,Cebu City,15487.69,5979.83,7357649,480,Region VII
Eastern Visayas(Region VIII),8,Visayas,Tacloban,23251.1,8977.3,4792337,190,Region VIII
Zamboanga Peninsula(Region IX),9,Mindanao,Pagadian,17056.73,6585.64,3782981,210,Region IX
Northern Mindanao(Region X),10,Mindanao,Cagayan de Oro,20496.02,7913.56,5017057,230,Region X
Davao Region(Region XI),11,Mindanao,Davao City,20357.42,7860.04,5290869,240,Region XI
Soccsksargen(Region XII),12,Mindanao,Koronadal,22513.3,8692.43,4919936,200,Region XII
Caraga(Region XIII),16,Mindanao,Butuan,21478.35,8292.84,2753109,120,Region XIII
Bangsamoro(BARMM),–,Mindanao,Cotabato City,12535.79,4840.1,4183316,300,BARMM
