,Region(regional designation),PSGC[32],Islandgroup,Regionalcenter,Component localgovernment units,Area[a],Population(2020 estimate)[36],Density,shortname
0,,,,,,,,,
1,National Capital Region(NCR),13,Luzon,Manila,"
17
CaloocanLas PiñasMakatiMalabonMandaluyongManilaMarikinaMuntinlupaNavotasParañaquePasayPasigPaterosQuezon CitySan JuanTaguigValenzuela
",619.57 km2(239.22 sq mi),"13,894,656(12.77%)","21,000/km2(54,000/sq mi)",NCR
2,Cordillera Administrative Region(CAR),14,Luzon,Baguio,"
7
AbraApayaoBaguio[b]BenguetIfugaoKalingaMountain Province
","19,422.03 km2(7,498.89 sq mi)","1,807,738(1.66%)",89/km2(230/sq mi),CAR
3,Ilocos Region(Region I),01,Luzon,San Fernando(La Union),"
5
Dagupan[c]Ilocos NorteIlocos SurLa UnionPangasinan
","13,012.60 km2(5,024.19 sq mi)","5,220,807(4.80%)","390/km2(1,000/sq mi)",Region I
4,Cagayan Valley(Region II),02,Luzon,Tuguegarao,"
6
BatanesCagayanIsabelaNueva VizcayaQuirinoSantiago[c]
","28,228.83 km2(10,899.21 sq mi)","3,657,741(3.36%)",120/km2(310/sq mi),Region II
5,Central Luzon(Region III),03,Luzon,San Fernando(Pampanga),"
9
Angeles[b]AuroraBataanBulacanNueva EcijaOlongapo[b]PampangaTarlacZambales
","22,014.63 km2(8,499.90 sq mi)","12,313,718(11.32%)","510/km2(1,300/sq mi)",Region III
6,Calabarzon(Region IV-A),04,Luzon,Calamba,"
6
BatangasCaviteLagunaLucena[b]QuezonRizal
","16,873.31 km2(6,514.82 sq mi)","16,057,099(14.76%)","850/km2(2,200/sq mi)",Region IV-A
7,Southwestern Tagalog Region(Mimaropa)[d],17,Luzon,Calapan,"
6
MarinduqueOccidental MindoroOriental MindoroPalawanPuerto Princesa[b]Romblon
","29,620.90 km2(11,436.69 sq mi)","3,174,859(2.92%)",100/km2(260/sq mi),Mimaropa
8,Bicol Region(Region V),05,Luzon,Legazpi,"
7
AlbayCamarines NorteCamarines SurCatanduanesMasbateNaga[c]Sorsogon
","18,155.82 km2(7,010.00 sq mi)","6,139,836(5.64%)",320/km2(830/sq mi),Region V
9,Western Visayas(Region VI),06,Visayas,Iloilo City,"
8
AklanAntiqueBacolod[b]CapizGuimarasIloiloIloilo City[b]Negros Occidental
","20,794.18 km2(8,028.68 sq mi)","7,984,899(7.34%)",360/km2(930/sq mi),Region VI
10,Central Visayas(Region VII),07,Visayas,Cebu City,"
7
BoholCebuCebu City[b]Lapu-Lapu[b]Mandaue[b]Negros OrientalSiquijor
","15,487.69 km2(5,979.83 sq mi)","7,357,649(6.76%)","480/km2(1,200/sq mi)",Region VII
11,Eastern Visayas(Region VIII),08,Visayas,Tacloban,"
8
BiliranEastern SamarLeyteNorthern SamarOrmoc[c]SamarSouthern LeyteTacloban[b]
","23,251.10 km2(8,977.30 sq mi)","4,792,337(4.41%)",190/km2(490/sq mi),Region VIII
12,Zamboanga Peninsula(Region IX),09,Mindanao,Pagadian,"
5
Isabela City[e]Zamboanga City[b]Zamboanga del NorteZamboanga del SurZamboanga Sibugay
","17,056.73 km2(6,585.64 sq mi)","3,782,981(3.48%)",210/km2(540/sq mi),Region IX
13,Northern Mindanao(Region X),10,Mindanao,Cagayan de Oro,"
7
BukidnonCagayan de Oro[b]CamiguinIligan[b]Lanao del NorteMisamis OccidentalMisamis Oriental
","20,496.02 km2(7,913.56 sq mi)","5,017,057(4.61%)",230/km2(600/sq mi),Region X
14,Davao Region(Region XI),11,Mindanao,Davao City,"
6
Davao City[b]Davao de OroDavao del NorteDavao del SurDavao OrientalDavao Occidental
","20,357.42 km2(7,860.04 sq mi)","5,290,869(4.86%)",240/km2(620/sq mi),Region XI
15,Soccsksargen(Region XII),12,Mindanao,Koronadal,"
5
CotabatoGeneral Santos[b]SaranganiSouth CotabatoSultan Kudarat
","22,513.30 km2(8,692.43 sq mi)","4,919,936(4.5%)",200/km2(520/sq mi),Region XII
16,Caraga(Region XIII),16,Mindanao,Butuan,"
6
Agusan del NorteAgusan del SurButuan[b]Dinagat IslandsSurigao del NorteSurigao del Sur
","21,478.35 km2(8,292.84 sq mi)","2,753,109(2.53%)",120/km2(310/sq mi),Region XIII
17,Bangsamoro(BARMM)[f],–,Mindanao,Cotabato City,"
7
Basilan(excluding Isabela City)Cotabato City[c]Lanao del SurMaguindanaoSuluTawi-Tawi63 barangays in Cotabato[g]
","12,535.79 km2(4,840.10 sq mi)","4,183,316(3.85%)",300/km2(780/sq mi),BARMM
18,"Notes

^ Land area figures are the sum of each region's component provinces and independent cities, derived from the National Statistical Coordination Board (Philippine Statistics Authority) official website. For the BARMM, land area is derived from Bangsamoro Development Plan Integrative Report.[33][34][35]

^ a b c d e f g h i j k l m n o p q A highly urbanized city, independent from any province.

^ a b c d e An independent component city, not under the jurisdiction of any provincial government.

^ Formerly designated as Region IV-B until 2016.

^ A component city, part of the province of Basilan, but whose regional services are provided by the offices of Region IX.

^ Following the Bangsamoro autonomy plebiscite and the ratification of the Bangsamoro Organic Law, the Autonomous Region in Muslim Mindanao (ARMM) was superseded by the Bangsamoro Autonomous Region in Muslim Mindanao (BARMM) on February 2019, which transferred the provinces and cities already in the ARMM, as well as surrounding communities that voted for inclusion.

^ Barangays that are in Cotabato province, which is part of the Soccsksargen region, but are administratively part of BARMM

",,,,,,,,
