"event_date","event_type","sub_event_type","actor1","assoc_actor_1","actor2","assoc_actor_2","comp_act1","comp_assoc_act1","comp_act2","comp_assoc_act2","Region","Province","Municipality","Baranggay","latitude","longitude","geo_precision","source","source_scale","fatalities","notes"
"2020-03-01","Protests","Peaceful protest","Protesters (Philippines)","Journalists (Philippines); Labour Group (Philippines)","","","Protesters (Philippi","Journalists (Philipp","nan","nan","NCR","Metro Manila","Quezon City","Quezon City","14.6488","121.0509","1","Rappler; ABS CBN","National","0","On 1 March 2020, journalists, media workers, celebrities and other supporters staged a demonstration outside the ABS CBN headquarters in Sgt. Esguerra Avenue in Quezon City, in order to protest the government's moves to shut down the broadcaster and to call for Congress's renewal of the broadcaster's operating franchise. Philippine President Rodrigo Duterte has often been critical of what it perceived as biased journalism from ABS CBN and other media outlets. [size=no report]"
"2020-03-01","Violence against civilians","Attack","Anti-Drug Vigilantes (Philippines)","","Civilians (Philippines)","Drug Suspects (Philippines)","Anti-Drug Vigilantes","nan","Civilians (Philippin","Drug Suspects (Phili","Ilocos Region","Ilocos Sur","Magsingal","San Julian","17.6874","120.4243","1","Philippine Star","National","1","On 1 March 2020, a drug suspect was shot dead while another was wounded in a vigilante-style attack by unidentified assailants in Barangay San Julian, Magsingal, Ilocos Sur."
"2020-03-01","Violence against civilians","Attack","Unidentified Armed Group (Philippines)","","Civilians (Philippines)","Military Forces of the Philippines (2016-)","Unidentified Armed G","nan","Civilians (Philippin","Military Forces of t","BARMM","Maguindanao","Sultan Kudarat","Rebuken","7.2804","124.2838","1","Philippine Daily Inquirer","National","1","On 1 March 2020, an off-duty soldier was shot dead by unidentified assailants in Barangay Rebuken, Sultan Kudarat, Maguindanao."
"2020-03-02","Battles","Armed clash","BIFF: Bangsamoro Islamic Freedom Fighters","Dawlah Islamiyah","Military Forces of the Philippines (2016-)","","BIFF: Bangsamoro Isl","Dawlah Islamiyah","Military Forces of t","nan","BARMM","Maguindanao","Datu Hoffer Ampatuan","Tuayan","6.8595","124.4341","1","Philippine Star; CNN; ABS CBN; Philippine Daily Inquirer","National-International","4","On 2 March 2020, three suspected BIFF militants (affiliated with the ISIS-inspired subgroup Dawlah Islamiyah, according to some reports) were shot dead while a government soldier was killed and another was wounded in a firefight between the BIFF/Dawlah Islamiyah and the government in Barangay Tuayan, Datu Hoffer Ampatuan, Maguindanao. The military reported retrieving weapons and other items from the rebels."
"2020-03-02","Battles","Armed clash","BIFF: Bangsamoro Islamic Freedom Fighters","Dawlah Islamiyah","Military Forces of the Philippines (2016-)","","BIFF: Bangsamoro Isl","Dawlah Islamiyah","Military Forces of t","nan","BARMM","Maguindanao","Shariff Aguak","Satan","6.8991","124.427","1","GMA News; Rappler","National","2","On 2 March 2020, two suspected BIFF militants (affiliated with the ISIS-inspired subgroup Dawlah Islamiyah, according to some reports) were killed in a clash between the BIFF/Dawlah Islamiyah and the military in Satan, Shariff Aguak, Maguindanao."
"2020-03-02","Violence against civilians","Attack","NPA: New People's Army","","Civilians (Philippines)","Former Government of the Philippines (2016-)","NPA: New People's Ar","nan","Civilians (Philippin","Former Government of","CAR","Ifugao","Tinoc","Tukucan","16.7037","120.9351","1","Northern Dispatch (Philippines); Manila Bulletin","Subnational-National","1","On 2 March 2020, a former barangay chairman, who was reportedly a known anti-communist, was shot dead by suspected NPA militants in Barangay Tukucan, Tinoc, Ifugao."
"2020-03-02","Violence against civilians","Attack","Unidentified Armed Group (Philippines)","","Civilians (Philippines)","Government of the Philippines (2016-)","Unidentified Armed G","nan","Civilians (Philippin","Government of the Ph","Davao Region","Davao del Sur","Digos","Digos","6.7497","125.3572","1","Philippine Daily Inquirer","National","0","On 2 March 2020, an engineer of the Department of Public Works and Highways was wounded on his way to work in an attack by unidentified motorcycle-riding assailants along Lapulapu Street, Digos City, Davao del Sur."
"2020-03-02","Violence against civilians","Attack","Unidentified Armed Group (Philippines)","","Civilians (Philippines)","Government of the Philippines (2016-)","Unidentified Armed G","nan","Civilians (Philippin","Government of the Ph","Northern Mindanao","Bukidnon","Quezon","Minsalirak","7.7189","125.0545","1","Manila Bulletin","National","1","On 2 March 2020, a barangay councilor was shot dead by unidentified assailants in Barangay Minsalirak, Quezon, Bukidnon."
"2020-03-02","Violence against civilians","Attack","Unidentified Armed Group (Philippines)","","Civilians (Philippines)","Former Police Forces of the Philippines (2016-) Barangay Peace and Security Officer","Unidentified Armed G","nan","Civilians (Philippin","Former Police Forces","Western Visayas","Iloilo","Tigbauan","Barangay 9","10.6702","122.377","1","Panay News","Subnational","1","On 2 March 2020, a former barangay watchman was shot dead by unidentified assailants in Barangay 9, Tigbauan, Iloilo. The motive for the killing was unclear."
"2020-03-02","Battles","Armed clash","BIFF: Bangsamoro Islamic Freedom Fighters","Dawlah Islamiyah","Military Forces of the Philippines (2016-)","","BIFF: Bangsamoro Isl","Dawlah Islamiyah","Military Forces of t","nan","BARMM","Maguindanao","Ampatuan","Ampatuan","6.7855","124.4237","2","Abante; GMA News; Manila Bulletin; Philippine News Agency; Philippine Star; Sunstar (Philippines)","National","2","From 2 to 7 March 2020, 14 BIFF militants (affiliated with the ISIS-inspired subgroup Dawlah Islamiyah, according to some reports) and 4 government soldiers were killed, while 11 government soldiers were wounded in continuing clashes between the BIFF/Dawlah Islamiyah and the military across Maguindanao, particularly around the towns of Shariff Aguak, Pagatin (Datu Saudi), Mamasapano and Salibo (the so-called SPMS box), as well as the towns of Ampatuan and Datu Hoffer Ampatuan. The military also used airstrikes and artillery fire against the rebels. Location coded at Ampatuan. 12 fatalities distributed across six days (2-7 March). Specific location and other details were known for 5 other fatalities in two related events on 2 March in Barangay Tuayan, Datu Hoffer Ampatuan and Barangay Satan, Shariff Aguak, and these were coded accordingly."
